CG-HC         385.000    1.083  0  high # dft/6-31g* empfc
CG-NIP        635.000    1.286  0  high # dft/6-31g* empfc
CHZ-CM        360.000    1.437  0  high # dft/6-31g* empfc
CHZ-CT        285.000    1.496  0  high # dft/6-31g* empfc
CHZ-HC        375.000    1.090  0  high # dft/6-31g* empfc
CHZ-NI        645.000    1.280  1  high # dft/6-31g* empfc
CHZ-NI        607.899    1.431  0  high # opls core
CHZ-NN        370.000    1.395  0  high # dft/6-31g* empfc
CM-CM         380.000    1.444  1  high # dft/6-31g*  empfc
CM-CMA        465.000    1.376  0  high # dft/6-31g* empfc
CM-CO3        230.000    1.545  0  high # dft/6-31g* empfc
C-CO3         270.000    1.501  0  high # dft/6-31g* empfc
CDS-CO3       285.000    1.502  0  high # dft/6-31g* empfc
CM-CO4        320.000    1.462  0  high # dft/6-31g* empfc
CM-F          480.000    1.343  0  high # dft/6-31g* empfc
CM-I          100.000    2.157  0  high # dft/6-31g* empfc
CM-N          400.000    1.384  0  high # dft/6-31g* empfc
CM-NE         425.000    1.378  0  high # dft/6-31g* empfc
CM-NO2        325.000    1.425  0  high # dft/6-31g* empfc
CM-O          870.000    1.226  0  high # dft/6-31g* empfc
CM-OH         510.000    1.338  0  high # dft/6-31g* empfc
CM-OS         440.000    1.360  0  high # dft/6-31g* empfc
CM-S          240.000    1.763  0  high # dft/6-31g* empfc
C-S           240.000    1.763  0  high # dft/6-31g* empfc duplicated
CM-SM         265.000    1.736  0  high # dft/6-31g* empfc
CMA-HC        335.000    1.111  0  high # dft/6-31g* empfc
CMA-NM        500.000    1.344  0  high # dft/6-31g* empfc
CM-NM         510.000    1.336  0  high # mmff  empfc
CMA-OM        745.000    1.250  0  high # mmff  empfc
CMA-SM        255.000    1.748  0  high # mmff ab initio r0  empfc
CN-CR3        480.000    1.377  0  high # mmff  empfc
CN-NB         520.000    1.333  0  high # mmff 4 occ  empfc
CN-NA         450.000    1.364  0  high # mmff  empfc
CN56-N56P     420.000    1.381  0  high # mmff  empfc
CN56-N5B      555.000    1.332  0  high # dft/6-31g* empfc
CN56-NB       490.000    1.345  0  high # mmff  empfc
CN56-NAA      510.000    1.331  0  high # dft/6-31g* empfc
CN56-NC       565.000    1.313  0  high # mmff  empfc
CN56-NC56     395.000    1.397  0  high # dft/6-31g* empfc
CO-CT         250.000    1.527  0  high # dft/6-31g* empfc
CO-N          330.000    1.432  0  high # dft/6-31g* empfc
CO-NT         340.000    1.430  0  high # dft/6-31g* empfc
CO-OH         380.000    1.407  0  high # dft/6-31g* empfc
CO1-CT        255.000    1.525  0  high # dft/6-31g* empfc
CO1-HC        360.000    1.097  0  high # dft/6-31g* empfc
CO1-OH5       375.000    1.410  0  high # dft/6-31g* empfc
CO1-OS1       370.000    1.399  0  high # dft/6-31g* empfc
CO3-HC        270.000    1.144  0  high # mmff  empfc
